"","State","County","fips","frac_coll_plus2010","foreign_share2010","med_hhinc2016","poor_share2010","share_white2010","share_black2010","share_hisp2010","share_asian2010","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","traveltime15_2010","emp2000","ln_wage_growth_hs_grad","popdensity2010","ann_avg_job_growth_2004_2013","job_density_2013","turnout.rate"
"1529","Missouri","Howell County",29091,0.14131743,0.018732963,34359.0479207921,0.19422409,0.95294553,0.0057425741,0.017252475,0.0044112979,3.0334084,556.2655,0.29352844,0.39576215,0.54861063,NA,43.569695,-0.023586432,16.318146,0.616447411912474
"1530","Missouri","Iron County",29093,0.093564145,0.0046012746,37120.4141110066,0.21067385,0.95597368,0.014863594,0.012511759,0.0008466604,3.4530675,506.19937,0.25891373,0.35044244,0.49656755,NA,19.318176,-0.029853484,6.3860836,0.571641976845512
"1531","Missouri","Jackson County",29095,0.26347521,0.05451946,53386.6145442247,0.15481032,0.63275081,0.25068012,0.08371035,0.01310942,2.6986544,840.68707,0.41335854,0.26016948,0.63709807,0.0069670547,1120.2621,0.0031163814,539.52429,0.381148463514783
"1532","Missouri","Jasper County",29097,0.18486394,0.038540632,45013.9544564069,0.18916748,0.86043918,0.027358523,0.068370752,0.0082004443,2.9430375,703.47961,0.37389362,0.43325132,0.60989112,0.13402283,183.87816,0.0053138677,85.508263,0.59975483737928
"1533","Missouri","Jefferson County",29099,0.16228609,0.018118028,59420.8486876694,0.094661206,0.95432329,0.012384962,0.015580639,0.0055901026,3.9702559,741.44843,0.2693401,0.17934947,0.67158616,-0.016153762,333.11505,-0.0014580891,163.019,0.680789493643561
"1534","Missouri","Johnson County",29101,0.24998839,0.029115923,49504.9785911208,0.17325507,0.88158572,0.051868048,0.030630289,0.013091772,3.0898647,651.31622,0.24800965,0.40012446,0.59770656,0.074162513,63.422333,-0.013516841,25.663164,0.55705991471729
"1535","Missouri","Knox County",29103,0.13931838,0.0058002402,39694.8678286129,0.20479344,0.97482449,0.005325587,0.0082304524,0.0016945049,2.8275328,608,0.25190875,0.3764908,0.56558639,0.3761712,8.1962662,-0.021017235,3.7201643,0.621313672922252
"1536","Missouri","Laclede County",29105,0.12918422,0.017233761,40435.2450310646,0.16116847,0.94447726,0.011020213,0.020213095,0.003378826,3.3218853,611.60974,0.30169654,0.4301472,0.59660077,0.14882866,46.515247,-0.01187264,18.436886,0.627822640945117
"1537","Missouri","Lafayette County",29107,0.15887332,0.013442744,50452.6806866181,0.10664267,0.92873192,0.029238191,0.022168299,0.003661193,3.2404008,706.34625,0.27658886,0.34584013,0.62852001,-0.07830628,53.118004,-0.00031533826,25.191311,0.679292627554069
"1538","Missouri","Lawrence County",29109,0.13324296,0.028931428,40133.3670342186,0.17257138,0.90956151,0.0046849926,0.063260339,0.0024395611,2.8367617,562.62006,0.3515839,0.40777951,0.59971678,NA,63.154694,-0.010413712,26.606247,0.644667674803773
"1539","Missouri","Lewis County",29111,0.13204756,0.010890482,44256.2373910489,0.1534629,0.93487418,0.037998237,0.015571442,0.0027830487,2.6350703,535.02185,0.22022332,0.37633163,0.62473226,0.089227207,20.218081,-0.011675074,9.502161,0.605968971864318
